sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-55_iter-1,depth-55_iter-2,depth-55_iter-3,depth-55_iter-4,depth-55_iter-5,depth-55_iter-6,depth-55_iter-7,depth-55_iter-8,depth-55_iter-9,depth-55_iter-10,depth-109_iter-1,depth-109_iter-2,depth-109_iter-3,depth-109_iter-4,depth-109_iter-5,depth-109_iter-6,depth-109_iter-7,depth-109_iter-8,depth-109_iter-9,depth-109_iter-10,depth-164_iter-1,depth-164_iter-2,depth-164_iter-3,depth-164_iter-4,depth-164_iter-5,depth-164_iter-6,depth-164_iter-7,depth-164_iter-8,depth-164_iter-9,depth-164_iter-10,depth-218_iter-1,depth-218_iter-2,depth-218_iter-3,depth-218_iter-4,depth-218_iter-5,depth-218_iter-6,depth-218_iter-7,depth-218_iter-8,depth-218_iter-9,depth-218_iter-10,depth-272_iter-1,depth-272_iter-2,depth-272_iter-3,depth-272_iter-4,depth-272_iter-5,depth-272_iter-6,depth-272_iter-7,depth-272_iter-8,depth-272_iter-9,depth-272_iter-10,depth-327_iter-1,depth-327_iter-2,depth-327_iter-3,depth-327_iter-4,depth-327_iter-5,depth-327_iter-6,depth-327_iter-7,depth-327_iter-8,depth-327_iter-9,depth-327_iter-10,depth-381_iter-1,depth-381_iter-2,depth-381_iter-3,depth-381_iter-4,depth-381_iter-5,depth-381_iter-6,depth-381_iter-7,depth-381_iter-8,depth-381_iter-9,depth-381_iter-10,depth-435_iter-1,depth-435_iter-2,depth-435_iter-3,depth-435_iter-4,depth-435_iter-5,depth-435_iter-6,depth-435_iter-7,depth-435_iter-8,depth-435_iter-9,depth-435_iter-10,depth-490_iter-1,depth-490_iter-2,depth-490_iter-3,depth-490_iter-4,depth-490_iter-5,depth-490_iter-6,depth-490_iter-7,depth-490_iter-8,depth-490_iter-9,depth-490_iter-10
YUN3259.2,1,1,1,1,1,1,1,1,1,1,24,31,31,34,32,35,30,25,31,26,37,39,36,40,37,40,39,37,35,40,43,45,41,42,43,47,44,45,42,42,47,45,47,46,44,47,46,46,46,47,48,47,45,48,48,47,47,48,45,47,47,47,48,47,48,48,48,48,46,48,48,48,48,48,48,48,48,48,48,48,48,47,47,48,48,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48
YUN3259.3,1,1,1,1,1,1,1,1,1,1,25,24,22,20,25,21,26,24,22,19,29,29,28,30,28,25,31,29,26,28,31,32,31,29,29,30,31,33,32,33,32,33,32,32,32,33,33,31,31,32,32,30,34,32,33,32,33,32,32,34,33,34,33,34,33,34,34,34,33,34,34,34,34,34,34,33,34,33,34,34,34,34,34,34,34,33,34,34,33,34,34,34,34,34,34,34,34,34,34,34
YUN3346.1,1,1,1,1,1,1,1,1,1,1,25,24,25,23,25,23,21,21,19,23,31,31,27,29,34,32,33,30,29,30,34,36,33,34,35,32,30,33,34,32,35,35,36,37,35,36,35,34,36,37,38,37,37,38,37,36,36,36,37,36,38,38,38,36,38,36,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,38,38,38,38,38,38,38,38,38,38,38,38
YUN3346.3,1,1,1,1,1,1,1,1,1,1,19,19,20,18,23,19,16,20,20,19,24,25,24,24,23,24,24,25,22,22,23,25,25,26,23,25,24,24,26,24,25,25,26,27,26,24,27,25,26,27,25,26,27,26,27,26,27,27,26,26,26,26,27,27,26,25,25,27,27,27,27,26,27,27,26,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27
YUN3428.1,1,1,1,1,1,1,1,1,1,1,24,22,22,25,22,28,23,29,21,25,31,32,31,30,31,31,32,28,29,29,34,34,31,35,34,34,34,34,32,34,36,38,38,38,37,35,37,38,38,35,39,38,37,37,38,37,39,37,37,37,37,38,39,37,39,38,37,39,38,38,38,39,38,39,39,39,38,38,38,38,38,38,39,39,39,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39
YUN3428.2,1,1,1,1,1,1,1,1,1,1,29,26,30,36,32,29,25,29,27,33,40,41,41,40,42,39,40,37,36,43,44,45,44,44,46,44,47,43,49,41,50,49,48,46,49,49,51,47,50,49,45,51,51,50,47,53,51,47,48,54,54,52,53,49,52,52,53,53,53,54,55,53,54,55,55,53,53,54,53,53,56,55,55,55,55,55,55,56,54,54,56,56,56,56,56,56,56,56,56,56
YUN3428.3,1,1,1,1,1,1,1,1,1,1,30,28,30,28,28,26,27,27,27,27,42,40,40,43,41,46,40,40,37,37,47,46,51,48,47,43,47,49,46,48,49,47,49,50,52,51,47,48,49,53,52,50,51,50,50,52,52,49,51,52,53,51,54,51,53,51,51,50,52,51,53,53,54,52,54,53,54,53,53,53,52,53,54,53,54,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54
YUN3533.1.1,1,1,1,1,1,1,1,1,1,1,20,21,23,21,24,22,18,22,21,21,28,29,26,25,29,27,28,28,27,30,32,30,32,34,32,30,35,29,35,31,31,35,31,33,34,31,34,32,35,34,33,33,34,34,33,33,34,34,35,34,34,34,36,36,34,36,35,36,36,35,36,35,35,36,35,36,35,35,35,36,36,35,36,36,36,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36
YUN3533.1.2,1,1,1,1,1,1,1,1,1,1,24,26,27,21,24,22,23,27,22,23,28,27,28,29,29,30,29,31,32,26,34,32,32,31,31,33,30,33,31,28,32,32,33,32,35,32,32,31,30,33,35,34,33,34,34,34,34,34,34,34,33,35,34,35,35,34,34,34,35,34,35,35,34,34,34,35,33,35,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
YUN3533.1.3,1,1,1,1,1,1,1,1,1,1,26,22,23,28,23,23,24,24,22,23,31,31,28,30,32,31,33,33,33,31,33,34,33,33,34,33,32,31,31,33,35,33,35,35,34,34,35,32,35,35,36,36,36,35,37,33,37,36,36,36,36,35,36,36,36,36,36,36,37,35,36,37,35,37,36,36,36,37,37,35,37,36,36,36,37,37,37,36,37,35,37,37,37,37,37,37,37,37,37,37
YUN3533.2,1,1,1,1,1,1,1,1,1,1,16,17,17,20,19,15,19,16,18,15,24,24,23,25,21,23,22,26,19,22,27,29,28,27,23,27,30,31,31,27,31,28,31,31,30,29,29,31,28,31,29,31,31,29,30,33,30,29,31,29,29,31,33,32,32,31,31,32,30,31,33,32,32,33,32,33,32,33,32,33,33,32,32,33,33,33,33,32,33,32,33,33,33,33,33,33,33,33,33,33
YUN3533.3,1,1,1,1,1,1,1,1,1,1,31,32,32,32,33,30,35,29,27,32,43,37,42,44,37,39,44,42,42,40,53,49,49,44,45,47,48,46,49,49,47,50,55,52,49,49,52,49,50,53,53,52,54,52,52,55,55,54,55,52,55,54,55,55,55,53,54,53,55,53,57,56,56,58,57,56,56,55,55,58,57,58,58,57,57,56,56,58,57,57,58,58,58,58,58,58,58,58,58,58
YUN3856.1.1,1,1,1,1,1,1,1,1,1,1,25,22,26,25,23,24,27,27,19,26,34,32,32,35,36,32,32,34,34,34,39,35,37,35,38,39,35,37,36,38,39,40,38,39,37,39,38,38,38,37,40,40,40,39,40,40,41,41,40,40,38,40,39,38,41,40,40,41,40,41,40,41,40,41,41,41,41,41,40,41,41,41,41,41,41,40,41,41,40,41,41,41,41,41,41,41,41,41,41,41
YUN3856.1.2,1,1,1,1,1,1,1,1,1,1,26,24,24,28,23,25,27,24,25,25,29,32,35,34,32,37,30,30,32,37,36,41,37,36,36,40,38,36,36,37,40,39,43,40,41,42,43,40,41,38,43,43,42,43,43,44,44,45,45,42,43,45,44,45,45,44,42,43,43,44,44,43,45,45,46,46,42,43,43,45,45,46,46,46,46,44,46,46,45,46,46,46,46,46,46,46,46,46,46,46
YUN3856.1.3,1,1,1,1,1,1,1,1,1,1,29,32,33,30,31,29,31,32,29,32,41,43,40,42,37,42,43,44,41,43,43,48,45,43,47,44,46,46,48,45,48,49,48,50,49,47,49,47,49,49,50,52,50,49,50,50,51,51,50,48,52,51,52,50,52,51,51,51,50,51,52,51,50,52,52,51,52,51,52,50,52,51,52,52,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52
YUN3856.2,1,1,1,1,1,1,1,1,1,1,30,32,29,29,32,31,32,33,32,33,47,45,40,48,47,45,42,43,47,45,48,51,51,51,52,51,51,51,52,51,53,53,53,55,55,54,57,52,55,53,55,54,57,55,55,55,56,54,55,55,56,58,56,56,58,58,56,57,56,56,56,57,57,57,56,55,58,57,58,57,57,57,57,58,56,58,57,57,56,58,58,58,58,58,58,58,58,58,58,58
YUN3856.3,1,1,1,1,1,1,1,1,1,1,33,32,28,41,35,29,35,36,35,35,48,43,49,44,52,44,48,44,45,46,54,54,50,56,53,50,56,50,53,53,55,54,57,54,52,55,58,53,56,58,55,60,59,57,58,57,59,57,58,57,56,59,59,60,60,60,60,57,60,59,60,61,60,61,59,58,61,58,59,61,61,59,61,61,61,61,61,60,61,61,61,61,61,61,61,61,61,61,61,61
