YUN3428.2,1139.0
BAQ3473.3,1096.0
YUN3533.3,1066.0
BAQ4166.1.2,1048.0
BAQ4697.3,993.0
YUN3856.3,986.0
YUN3533.2,979.0
BAQ4166.2,969.0
BAQ4166.3,920.0
YUN2029.2,892.0
YUN3856.2,851.0
BAQ3473.1,837.0
YUN3428.3,831.0
BAQ4166.1.3,830.0
YUN1005.1.1,809.0
BAQ2462.1,808.0
YUN3856.1.2,801.0
YUN3533.1.1,794.0
YUN3428.1,790.0
YUN3259.3,784.0
BAQ4697.1,778.0
YUN3856.1.1,762.0
BAQ4166.1.1,741.0
YUN1242.3,729.0
YUN3259.2,721.0
BAQ2687.1,717.0
BAQ2687.3,704.0
BAQ4697.2,702.0
YUN1609.1,691.0
BAQ3473.2,670.0
YUN3533.1.3,654.0
YUN3856.1.3,625.0
YUN3346.3,617.0
YUN3346.1,615.0
YUN3533.1.2,596.0
YUN3259.1.2,576.0
BAQ2420.3,557.0
BAQ2687.2,550.0
YUN3153.3,546.0
BAQ2462.2,546.0
YUN1242.1,537.0
BAQ2420.2,537.0
BAQ2420.1.1,534.0
BAQ2420.1.3,519.0
BAQ2420.1.2,497.0
