Group 1,Group 2,H,p-value,q-value
YUN1005 (n=1),YUN2029 (n=1),1.0,0.31731050786291115,0.42783439262414985
YUN1005 (n=1),YUN3153 (n=1),1.0,0.31731050786291115,0.42783439262414985
YUN1005 (n=1),YUN3259 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN1005 (n=1),YUN3346 (n=2),0.0,1.0,1.0
YUN1005 (n=1),YUN3428 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN1005 (n=1),YUN3533 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN1005 (n=1),YUN3856 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN1242 (n=2),YUN1609 (n=1),0.0,1.0,1.0
YUN1242 (n=2),YUN2029 (n=1),1.5,0.22067136191984324,0.3530741790717492
YUN1242 (n=2),YUN3153 (n=1),0.0,1.0,1.0
YUN1242 (n=2),YUN3259 (n=3),3.0,0.08326451666355042,0.31713969684528687
YUN1242 (n=2),YUN3346 (n=2),0.5999999999999996,0.43857802608099994,0.5783446497771428
YUN1242 (n=2),YUN3428 (n=3),3.0,0.08326451666355042,0.31713969684528687
YUN1242 (n=2),YUN3533 (n=5),3.75,0.052807511416113395,0.31713969684528687
YUN1242 (n=2),YUN3856 (n=5),3.75,0.052807511416113395,0.31713969684528687
YUN1609 (n=1),YUN2029 (n=1),1.0,0.31731050786291115,0.42783439262414985
YUN1609 (n=1),YUN3153 (n=1),1.0,0.31731050786291115,0.42783439262414985
YUN1609 (n=1),YUN3259 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN1609 (n=1),YUN3346 (n=2),1.5,0.22067136191984324,0.3530741790717492
YUN1609 (n=1),YUN3428 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN1609 (n=1),YUN3533 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN1609 (n=1),YUN3856 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN2029 (n=1),YUN3153 (n=1),1.0,0.31731050786291115,0.42783439262414985
YUN2029 (n=1),YUN3259 (n=3),0.1999999999999993,0.6547208460185774,0.7274676066873114
YUN2029 (n=1),YUN3346 (n=2),0.0,1.0,1.0
YUN2029 (n=1),YUN3428 (n=3),0.1999999999999993,0.6547208460185774,0.7274676066873114
YUN2029 (n=1),YUN3533 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN2029 (n=1),YUN3856 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN3153 (n=1),YUN3259 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN3153 (n=1),YUN3346 (n=2),1.5,0.22067136191984324,0.3530741790717492
YUN3153 (n=1),YUN3428 (n=3),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN3153 (n=1),YUN3533 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN3153 (n=1),YUN3856 (n=5),2.1428571428571423,0.14323490752466572,0.31713969684528687
YUN3259 (n=3),YUN3346 (n=2),0.3333333333333357,0.5637028616507718,0.6697459742385408
YUN3259 (n=3),YUN3428 (n=3),0.42857142857142705,0.5126907602619241,0.627784604402356
YUN3259 (n=3),YUN3533 (n=5),1.0888888888888886,0.29671752632205745,0.42783439262414985
YUN3259 (n=3),YUN3856 (n=5),1.8000000000000007,0.17971249487899588,0.31713969684528687
YUN3346 (n=2),YUN3428 (n=3),1.3333333333333357,0.24821307898991984,0.39053306600365834
YUN3346 (n=2),YUN3533 (n=5),2.3999999999999986,0.12133525035848367,0.31713969684528687
YUN3346 (n=2),YUN3856 (n=5),3.75,0.052807511416113395,0.31713969684528687
YUN3428 (n=3),YUN3533 (n=5),0.19999999999999574,0.6547208460185803,0.7274676066873114
YUN3428 (n=3),YUN3856 (n=5),0.02222222222221859,0.8814974521910232,0.936103489052414
YUN3533 (n=5),YUN3856 (n=5),2.4545454545454533,0.11718508719813842,0.31713969684528687
