sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	1	0	0	0	0	0	0	0
BAQ1370.1.3	6	2	33.33	1	0	0	0	0
BAQ1370.3	0	0	0	0	0	0	0	0
BAQ1552.1.1	4	1	25	1	1	25	1	25
BAQ1552.2	1	0	0	0	0	0	0	0
BAQ2420.1.1	810	747	92.22	522	305	37.65	298	36.79
BAQ2420.1.2	720	662	91.94	486	280	38.89	279	38.75
BAQ2420.1.3	656	618	94.21	460	318	48.48	318	48.48
BAQ2420.2	658	609	92.55	521	321	48.78	321	48.78
BAQ2420.3	645	597	92.56	508	272	42.17	264	40.93
BAQ2462.1	950	848	89.26	727	449	47.26	449	47.26
BAQ2462.2	676	611	90.38	518	315	46.6	315	46.6
BAQ2462.3	537	497	92.55	386	261	48.6	261	48.6
BAQ2687.1	883	846	95.81	618	306	34.65	306	34.65
BAQ2687.2	662	575	86.86	511	361	54.53	358	54.08
BAQ2687.3	921	838	90.99	690	324	35.18	318	34.53
BAQ2838.1	614	569	92.67	413	211	34.36	211	34.36
BAQ2838.2	562	518	92.17	360	175	31.14	173	30.78
BAQ2838.3	434	380	87.56	274	94	21.66	94	21.66
BAQ3473.1	1168	1080	92.47	847	497	42.55	491	42.04
BAQ3473.2	1010	953	94.36	690	320	31.68	317	31.39
BAQ3473.3	1304	1224	93.87	1019	638	48.93	630	48.31
BAQ4166.1.1	1069	980	91.67	716	241	22.54	241	22.54
BAQ4166.1.2	1383	1263	91.32	1048	685	49.53	672	48.59
BAQ4166.1.3	1059	970	91.6	751	465	43.91	454	42.87
BAQ4166.2	1237	1171	94.66	955	537	43.41	530	42.85
BAQ4166.3	1348	1231	91.32	936	547	40.58	542	40.21
BAQ4697.1	852	810	95.07	705	490	57.51	487	57.16
BAQ4697.2	861	817	94.89	711	528	61.32	491	57.03
BAQ4697.3	1167	1067	91.43	937	589	50.47	574	49.19
BAQ895.2	9	6	66.67	2	0	0	0	0
BAQ895.3	0	0	0	0	0	0	0	0
YUN1005.1.1	904	834	92.26	784	622	68.81	622	68.81
YUN1005.1.3	7	1	14.29	1	0	0	0	0
YUN1005.2	2	1	50	1	0	0	0	0
YUN1005.3	453	433	95.58	410	319	70.42	319	70.42
YUN1242.1	619	574	92.73	555	500	80.78	488	78.84
YUN1242.2	10	9	90	1	1	10	1	10
YUN1242.3	784	733	93.49	689	571	72.83	534	68.11
YUN1609.1	769	698	90.77	645	497	64.63	497	64.63
YUN1609.3	2	0	0	0	0	0	0	0
YUN2029.1	9	7	77.78	1	0	0	0	0
YUN2029.2	918	874	95.21	804	672	73.2	664	72.33
YUN2029.3	2	0	0	0	0	0	0	0
YUN3008.1.1	2	2	100	1	0	0	0	0
YUN3008.1.2	1	0	0	0	0	0	0	0
YUN3008.1.3	6	2	33.33	1	0	0	0	0
YUN3008.2	1	1	100	1	0	0	0	0
YUN3008.3	3	1	33.33	1	0	0	0	0
YUN3153.1	4	1	25	1	0	0	0	0
YUN3153.2	468	430	91.88	360	270	57.69	270	57.69
YUN3153.3	619	564	91.11	508	377	60.9	360	58.16
YUN3184.1	0	0	0	0	0	0	0	0
YUN3184.2	1	0	0	0	0	0	0	0
YUN3259.1.1	67	61	91.04	3	0	0	0	0
YUN3259.1.2	645	620	96.12	483	375	58.14	375	58.14
YUN3259.1.3	280	266	95	196	115	41.07	115	41.07
YUN3259.2	1039	944	90.86	695	332	31.95	332	31.95
YUN3259.3	1122	1027	91.53	845	533	47.5	533	47.5
YUN3346.1	730	685	93.84	584	443	60.68	415	56.85
YUN3346.2	193	185	95.85	118	29	15.03	29	15.03
YUN3346.3	795	726	91.32	568	410	51.57	410	51.57
YUN3428.1	1058	970	91.68	748	502	47.45	502	47.45
YUN3428.2	1536	1413	91.99	1106	719	46.81	716	46.61
YUN3428.3	1159	1078	93.01	787	461	39.78	460	39.69
YUN3533.1.1	1000	938	93.8	725	492	49.2	492	49.2
YUN3533.1.2	976	935	95.8	689	368	37.7	368	37.7
YUN3533.1.3	802	757	94.39	589	318	39.65	318	39.65
YUN3533.2	1266	1194	94.31	1003	750	59.24	750	59.24
YUN3533.3	1316	1235	93.84	947	625	47.49	624	47.42
YUN3856.1.1	1087	981	90.25	729	428	39.37	422	38.82
YUN3856.1.2	1044	986	94.44	792	474	45.4	474	45.4
YUN3856.1.3	753	716	95.09	593	397	52.72	388	51.53
YUN3856.2	1003	921	91.82	721	327	32.6	325	32.4
YUN3856.3	1321	1227	92.88	976	567	42.92	563	42.62
